01-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
02-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
03-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
06-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
07-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
08-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
10-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
12-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
13-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
13-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
14-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
15-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
16-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
17-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
18-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
20-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
23-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
24-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
25-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
26-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
28-09,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-01,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-02,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-03,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-04,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-05,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-06,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
88-07,egrgdrfdkj,sfdij;o safgdij;hosfgdi;ho,I;hosfgdafgdij;o,I;hoai;hosgdasgda,I;hofgi;hosagdih,I;hofgi;hosagdih,FALSE
